id, name, state, country, website, dbname, lastupdate, oldbtime
flagstaff, Flagstaff, AZ, USA, http://zyao.servehttp.com:5144/ver1.3/flagstaff/, flagstaff.sqlite, 20100320, 20100320
jefferson, Port Townsend, WA, USA, http://zyao.servehttp.com:5144/ver1.3/jefferson/, jefferson.sqlite, 20090309, 20090309
island, Island County, WA, USA, http://zyao.servehttp.com:5144/ver1.3/island/, island.sqlite, 20090309, 20090309
houston, Houston, TX, USA, http://zyao.servehttp.com:5144/ver1.3/houston/, houston.sqlite, 20100320, 20100320
irvine, Irvine, CA, USA, http://zyao.servehttp.com:5144/ver1.3/irvine/, irvine.sqlite, 20090608, 20090608
broward, Broward County, FL, USA, http://zyao.servehttp.com:5144/ver1.3/broward/, broward.sqlite, 20090429, 20090429
blacksburg, Blacksburg, VA, USA, http://zyao.servehttp.com:5144/ver1.3/blacksburg/, blacksburg.sqlite, 20091213, 20091216
dc, Washington, DC, USA, http://zyao.servehttp.com:5144/ver1.3/dc/, dc.sqlite, 20091228, 20090614
missoula, Missoula, MT, USA, http://zyao.servehttp.com:5144/ver1.3/missoula/, missoula.sqlite, 20090409, 20090409
minneapolis, Minneapolis, MN, USA, http://zyao.servehttp.com:5144/ver1.3/minneapolis/, minneapolis.sqlite, 20100320, 20100320
edmonton, Edmonton, AB, Canada, http://zyao.servehttp.com:5144/ver1.3/edmonton/, edmonton.sqlite, 20090604, 20090604
la, Los Angeles, CA, USA, http://zyao.servehttp.com:5144/ver1.3/la/, la.sqlite, 20091213, 20090611
ottowa, Ottawa, ON, Canada, http://zyao.servehttp.com:5144/ver1.3/ottowa/, ottowa.sqlite, 20090928, 20090622
philadelphia, Philadelphia, PA, USA, http://zyao.servehttp.com:5144/ver1.3/philadelphia/, philadelphia.sqlite, 20090731, 20090731
sandiego, San Diego, CA, USA, http://zyao.servehttp.com:5144/ver1.3/sandiego/, sandiego.sqlite, 20100320, 20100320
tillamook, Tillamook County, OR, USA, http://zyao.servehttp.com:5144/ver1.3/tillamook/, tillamook.sqlite, 20090731, 20090731
massvta, Vineyard, MA, USA, http://zyao.servehttp.com:5144/ver1.3/massachusetts/massvta/, massvta.sqlite, 20090926, 20090926
masspvta, Pioneer Valley, MA, USA, http://zyao.servehttp.com:5144/ver1.3/massachusetts/masspvta/, masspvta.sqlite, 20090926, 20090926
massmwrta, Metrowest, MA, USA, http://zyao.servehttp.com:5144/ver1.3/massachusetts/massmwrta/, massmwrta.sqlite, 20090926, 20090926
massmvrta, Merrimack Valley, MA, USA, http://zyao.servehttp.com:5144/ver1.3/massachusetts/massmvrta/, massmvrta.sqlite, 20090926, 20090926
massmbta, Boston, MA, USA, http://zyao.servehttp.com:5144/ver1.3/massachusetts/massmbta/, massmbta.sqlite, 20090926, 20090926
massmart, Montachusett, MA, USA, http://zyao.servehttp.com:5144/ver1.3/massachusetts/massmart/, massmart.sqlite, 20090926, 20090926
masslrta, Lowell, MA, USA, http://zyao.servehttp.com:5144/ver1.3/massachusetts/masslrta/, masslrta.sqlite, 20090926, 20090926
masslexpress, Lexpress, MA, USA, http://zyao.servehttp.com:5144/ver1.3/massachusetts/masslexpress/, masslexpress.sqlite, 20090926, 20090926
massfrta, Franklin, MA, USA, http://zyao.servehttp.com:5144/ver1.3/massachusetts/massfrta/, massfrta.sqlite, 20090926, 20090926
massccrta, Cape Cod, MA, USA, http://zyao.servehttp.com:5144/ver1.3/massachusetts/massccrta/, massccrta.sqlite, 20090926, 20090926
masscata, Cape Ann, MA, USA, http://zyao.servehttp.com:5144/ver1.3/massachusetts/masscata/, masscata.sqlite, 20090926, 20090926
massbrta, Berkshire, MA, USA, http://zyao.servehttp.com:5144/ver1.3/massachusetts/massbrta/, massbrta.sqlite, 20090926, 20090926

